districtUbigeo,districtName,mesasConHora,mesasDespues8,mesasDespues10,mesasDespues12,horaMediana,delayPromedioHoras,electoresObservados,asistentesObservados,ausentismoPctObservado,ausentesExtraEstimados,share::RENOVACIÓN POPULAR,lostVotes::RENOVACIÓN POPULAR,share::PARTIDO DEL BUEN GOBIERNO,lostVotes::PARTIDO DEL BUEN GOBIERNO,share::JUNTOS POR EL PERÚ,lostVotes::JUNTOS POR EL PERÚ
140130,SANTIAGO DE SURCO,916,796,275,0,9.241666666666667,2.333788209606987,271145,206947,23.676630585111287,4614.5685479684735,0.41927348885367804,1934.766254661193,0.1665908413472852,768.7448568607881,0.006957626719796684,32.106445429678836
140141,VILLA EL SALVADOR,736,655,287,0,9.633333333333333,2.615670289855072,219772,177623,19.178512276359136,4192.029861457874,0.10708627666861371,448.9088695471683,0.132161182012632,554.0236215225226,0.023183886841452808,97.18754594403045
140136,SAN JUAN DE MIRAFLORES,633,554,226,0,9.466666666666667,2.5186413902053717,189074,146882,22.315072405513185,3468.819622844246,0.16969043990119304,588.6255277383307,0.14129920639091817,490.14145982113604,0.02292531665527934,79.523788273751
140137,SAN JUAN DE LURIGANCHO,2573,376,0,0,7.416666666666667,0.496929654100272,762210,605884,20.509570853176946,2763.543864469964,0.10481720423324813,289.666941649688,0.12017069243664084,332.0969797723859,0.033231723183041774,91.83732470825935
140132,VILLA MARÍA DEL TRIUNFO,1117,513,54,0,7.916666666666667,1.095150701283199,330348,262130,20.650344485209537,2642.449107292047,0.12287690542987051,324.6959690599706,0.12274907060628257,324.3581720444998,0.030742547575284346,81.2356173961934
140106,COMAS,1333,310,12,0,7.5,0.6309452363090773,398319,311941,21.685633876365426,1831.363498636333,0.12643623923557862,231.55071344088964,0.13313377374071017,243.81633366444493,0.020871180842279107,38.22271876798787
140126,SAN MARTÍN DE PORRES,1623,250,5,0,7.383333333333334,0.5003286095707538,479965,374958,21.87805360807559,1754.4267586534713,0.16613674274534565,291.47474706796237,0.14758650521181627,258.9297139597605,0.018366276453727574,32.22228686724684
140101,LIMA,867,306,3,0,7.733333333333333,0.850480584390619,255285,192832,24.464030397398986,1586.6070051373651,0.18188080370721582,288.5733572618827,0.14627578679930578,232.08218801775828,0.01592385178293464,25.264894787573223
140127,SAN MIGUEL,297,269,96,0,9.3,2.4305836139169474,88803,68147,23.26047543438848,1573.0049550606072,0.30785625374992165,484.2594125950224,0.19901673696370523,313.05431338390184,0.007719241687487127,12.142405423727654
140103,ATE,1521,163,1,0,7.316666666666666,0.41490247644093803,450879,354797,21.309930158645667,1366.6211194510204,0.13673098609196843,186.8594532766478,0.11493964833145387,157.0789508720381,0.04325115900263125,59.107947333729996
