mesaCode,districtUbigeo,districtName,nombreLocalVotacion,codigoLocalVotacion,codigoEstadoActa,descripcionEstadoActa,totalElectoresHabiles,totalAsistentes,porcentajeParticipacionCiudadana,installTimeLabel,installHour,delayHours,fetchedAt,ausentismoPct
036069,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,245,81.667,07:21 a. m.,7.35,0.34999999999999964,2026-04-15T08:18:20.209694,18.333333333333332
036070,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,246,82.0,07:51 a. m.,7.85,0.8499999999999996,2026-04-15T08:18:20.305866,18.0
036071,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,232,77.333,08:17 a. m.,8.283333333333333,1.2833333333333332,2026-04-15T08:18:20.325846,22.666666666666668
036072,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,240,80.0,07:26 a. m.,7.433333333333334,0.43333333333333357,2026-04-15T08:18:20.234871,20.0
036073,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,E,Para envío al JEE,300,,0.0,07:31 a. m.,7.516666666666667,0.5166666666666666,2026-04-15T08:18:20.168804,
036074,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,236,78.667,08:03 a. m.,8.05,1.0500000000000007,2026-04-15T08:18:20.223440,21.333333333333332
036075,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,246,82.0,07:31 a. m.,7.516666666666667,0.5166666666666666,2026-04-15T08:18:20.268393,18.0
036076,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,209,69.667,08:00 a. m.,8.0,1.0,2026-04-15T08:18:20.287048,30.333333333333332
036077,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,238,79.333,08:03 a. m.,8.05,1.0500000000000007,2026-04-15T08:18:20.309312,20.666666666666668
036078,140101,LIMA,IE 1001 JOSE JIMENEZ BORJA,2642,C,Contabilizada,300,221,73.667,08:05 a. m.,8.083333333333334,1.083333333333334,2026-04-15T08:18:20.296981,26.333333333333332
